Button Pressed, 2020-06-23T19:27:30.413585900, New Deck 1
Button Pressed, 2020-06-23T19:27:31.524496100, Play
Button Pressed, 2020-06-23T19:27:33.717236300, warriors
Button Pressed, 2020-06-23T19:27:36.647768100, end turn
Next Turn, 2020-06-23T19:27:36.648767200, 
Button Pressed, 2020-06-23T19:27:36.854256100, end turn
Next Turn, 2020-06-23T19:27:36.855219200, 
Button Pressed, 2020-06-23T19:27:37.033384, end turn
Next Turn, 2020-06-23T19:27:37.033384, 
Button Pressed, 2020-06-23T19:27:38.415276, Living Monument
Button Pressed, 2020-06-23T19:27:39.440314300, Goldshire Footman
Card Played, 2020-06-23T19:27:39.441317300, Goldshire Footman
quit, 2020-06-23T19:27:44.859892, quit the game
login, 2020-06-23T19:27:56.627236700,  as  
Button Pressed, 2020-06-23T19:27:57.925135800, Collections
Button Pressed, 2020-06-23T19:28:00.621267, New Deck 1
Button Pressed, 2020-06-23T19:28:01.506738800, Play
Button Pressed, 2020-06-23T19:28:03.688955300, zombie
Button Pressed, 2020-06-23T19:28:05.375483, High Priest Amet
Button Pressed, 2020-06-23T19:28:06.507946900, High Priest Amet
Button Pressed, 2020-06-23T19:28:08.265159100, end turn
Next Turn, 2020-06-23T19:28:08.266153900, 
Button Pressed, 2020-06-23T19:28:08.463473600, end turn
Next Turn, 2020-06-23T19:28:08.464451, 
Button Pressed, 2020-06-23T19:28:08.641037100, end turn
Next Turn, 2020-06-23T19:28:08.642032200, 
Button Pressed, 2020-06-23T19:28:08.829330800, end turn
Next Turn, 2020-06-23T19:28:08.829330800, 
Button Pressed, 2020-06-23T19:28:09.079685300, end turn
Next Turn, 2020-06-23T19:28:09.080650, 
Button Pressed, 2020-06-23T19:28:11.097385300, Sunreaver Warmage
Card Played, 2020-06-23T19:28:11.097385300, Sunreaver Warmage
quit, 2020-06-23T19:28:16.823988400, quit the game
login, 2020-06-23T19:28:24.567821400,  as  
Button Pressed, 2020-06-23T19:28:25.539927200, Collections
Button Pressed, 2020-06-23T19:28:28.687162500, New Deck 1
Button Pressed, 2020-06-23T19:28:30.113258900, Play
Button Pressed, 2020-06-23T19:28:32.677058800, draw twice
Button Pressed, 2020-06-23T19:28:39.318840900, end turn
Next Turn, 2020-06-23T19:28:39.320837200, 
Button Pressed, 2020-06-23T19:28:39.507338900, end turn
Next Turn, 2020-06-23T19:28:39.507338900, 
Button Pressed, 2020-06-23T19:28:39.704863700, end turn
Next Turn, 2020-06-23T19:28:39.705808700, 
Button Pressed, 2020-06-23T19:28:41.281148800, Goldshire Footman
Card Played, 2020-06-23T19:28:41.282151100, Goldshire Footman
quit, 2020-06-23T19:28:44.987643300, quit the game
login, 2020-06-23T19:28:51.556651400,  as  
Button Pressed, 2020-06-23T19:28:53.836530, Play
Button Pressed, 2020-06-23T19:28:57.189753600, Stonetusk Boar
Button Pressed, 2020-06-23T19:29:01.415965400, Amir
